timestamp,temp_c,humidity_pct,co2_ppm,ph,ec_ms_cm,biomass_g,water_consumption_l,power_consumption_w
2026-01-01T00:00:00,23.81,74.6,1022,6.06,1.79,0.5098,0.0986,50.0
2026-01-01T01:00:00,24.87,77.8,1086,6.12,1.79,0.635,0.1075,52.59
2026-01-01T02:00:00,25.69,76.4,1119,5.94,1.8,0.5196,0.109,55.0
2026-01-01T03:00:00,25.48,76.7,1128,6.0,1.76,0.6018,0.1085,57.07
2026-01-01T04:00:00,25.87,78.9,1173,6.01,1.85,0.5342,0.1134,58.66
2026-01-01T05:00:00,25.25,80.0,1192,5.95,1.74,0.6285,0.1122,59.66
2026-01-01T06:00:00,26.85,80.0,1165,6.02,1.79,0.3623,0.1194,60.0
2026-01-01T07:00:00,26.36,80.4,1202,5.93,1.8,0.4199,0.1177,59.66
2026-01-01T08:00:00,25.03,79.4,1145,5.96,1.95,0.4358,0.1103,58.66
2026-01-01T09:00:00,26.28,77.4,1145,6.07,1.75,0.4021,0.113,57.07
2026-01-01T10:00:00,25.2,77.9,1052,6.1,1.8,0.5343,0.1091,55.0
2026-01-01T11:00:00,25.15,76.1,1040,5.97,1.78,0.515,0.1064,52.59
2026-01-01T12:00:00,24.99,75.6,1001,6.09,1.75,0.496,0.1049,50.0
2026-01-01T13:00:00,23.09,73.5,929,6.13,1.8,0.668,0.0943,47.41
2026-01-01T14:00:00,23.13,71.9,892,5.77,1.79,0.5031,0.0924,45.0
2026-01-01T15:00:00,22.08,70.8,888,5.91,1.75,0.5947,0.0868,42.93
2026-01-01T16:00:00,23.25,69.2,815,6.18,1.76,0.5198,0.0893,41.34
2026-01-01T17:00:00,21.33,69.1,831,5.91,1.82,0.3413,0.0819,40.34
2026-01-01T18:00:00,22.39,70.9,834,5.83,1.85,0.3998,0.0882,40.0
2026-01-01T19:00:00,22.08,69.8,789,5.96,1.78,0.5626,0.0856,40.34
2026-01-01T20:00:00,22.67,70.4,863,5.96,1.85,0.5616,0.0886,41.34
2026-01-01T21:00:00,21.98,72.6,841,5.9,1.74,0.5342,0.0887,42.93
2026-01-01T22:00:00,23.45,72.4,897,6.13,1.78,0.4794,0.0943,45.0
2026-01-01T23:00:00,23.34,74.1,913,6.29,1.83,0.3822,0.0961,47.41
2026-01-02T00:00:00,24.15,74.4,1019,6.0,1.75,0.6908,0.0998,50.0
2026-01-02T01:00:00,25.2,78.7,1062,5.83,1.7,0.4285,0.1102,52.59
2026-01-02T02:00:00,25.02,76.8,1100,6.13,1.85,0.3749,0.1067,55.0
2026-01-02T03:00:00,24.65,76.6,1135,5.91,1.89,0.6597,0.1048,57.07
2026-01-02T04:00:00,25.59,80.0,1145,6.12,1.85,0.4368,0.1137,58.66
2026-01-02T05:00:00,26.49,78.8,1202,5.92,1.77,0.6445,0.1159,59.66
2026-01-02T06:00:00,25.69,78.9,1184,5.88,1.83,0.7398,0.1126,60.0
2026-01-02T07:00:00,25.49,78.2,1193,6.06,1.76,0.5954,0.1107,59.66
